seq_reason,lineage,date_draw,count
N,A,2020-09-10,1
N,A,2021-01-20,1
N,A,2021-02-19,1
N,A,2021-04-24,1
N,A.11,2021-05-19,1
N,A.19,2021-01-19,1
N,A.2.5,2021-03-19,1
N,A.2.5,2021-05-04,1
N,A.2.5.1,2021-04-27,2
N,A.2.5.2,2021-01-23,1
N,A.23.1,2021-02-12,1
N,A.23.1,2021-02-22,1
N,A.23.1,2021-02-23,1
N,A.23.1,2021-02-24,2
N,A.23.1,2021-02-25,1
N,A.23.1,2021-02-28,1
N,A.23.1,2021-03-01,1
N,A.23.1,2021-03-02,2
N,A.23.1,2021-03-03,1
N,A.23.1,2021-03-12,1
N,A.23.1,2021-03-15,1
N,A.27,2021-01-16,1
N,A.27,2021-01-24,1
N,A.27,2021-01-25,1
N,A.27,2021-01-28,4
N,A.27,2021-02-10,3
N,A.27,2021-02-11,3
N,A.27,2021-02-12,2
N,A.27,2021-02-13,2
N,A.27,2021-02-15,1
N,A.27,2021-02-18,1
N,A.27,2021-02-20,1
N,A.27,2021-02-22,1
N,A.27,2021-02-25,12
N,A.27,2021-02-26,2
N,A.27,2021-02-27,3
N,A.27,2021-02-28,3
N,A.27,2021-03-01,9
N,A.27,2021-03-02,3
N,A.27,2021-03-03,3
N,A.27,2021-03-04,24
N,A.27,2021-03-05,2
N,A.27,2021-03-06,3
N,A.27,2021-03-08,12
N,A.27,2021-03-09,7
N,A.27,2021-03-10,3
N,A.27,2021-03-11,11
N,A.27,2021-03-12,6
N,A.27,2021-03-14,2
N,A.27,2021-03-15,9
N,A.27,2021-03-16,4
N,A.27,2021-03-17,11
N,A.27,2021-03-18,7
N,A.27,2021-03-19,4
N,A.27,2021-03-22,4
N,A.27,2021-03-23,2
N,A.27,2021-03-24,7
N,A.27,2021-03-25,6
N,A.27,2021-03-26,6
N,A.27,2021-03-27,1
N,A.27,2021-03-29,2
N,A.27,2021-03-30,3
N,A.27,2021-03-31,1
N,A.27,2021-04-01,2
N,A.27,2021-04-02,3
N,A.27,2021-04-04,1
N,A.27,2021-04-06,3
N,A.27,2021-04-07,4
N,A.27,2021-04-08,3
N,A.27,2021-04-09,1
N,A.27,2021-04-10,2
N,A.27,2021-04-12,1
N,A.27,2021-04-13,4
N,A.27,2021-04-14,2
N,A.27,2021-04-15,4
N,A.27,2021-04-19,1
N,A.27,2021-04-20,3
N,A.27,2021-04-21,2
N,A.27,2021-04-22,1
N,A.27,2021-04-23,1
N,A.27,2021-04-24,1
N,A.27,2021-04-27,4
N,A.27,2021-04-29,1
N,A.27,2021-04-30,1
N,A.27,2021-05-03,1
N,A.27,2021-05-04,1
N,A.27,2021-05-08,1
N,A.27,2021-05-10,2
N,A.27,2021-05-11,1
N,A.27,2021-05-12,1
N,A.27,2021-05-17,1
N,A.27,2021-05-19,1
N,A.27,2021-05-27,1
N,A.27,2021-05-28,1
N,A.27,2021-06-01,1
N,A.27,2021-06-02,1
N,A.27,2021-06-05,1
N,A.27,2021-06-09,1
N,A.27,2021-06-21,1
N,A.28,2021-01-11,2
N,A.28,2021-03-24,1
N,A.28,2021-03-26,3
N,A.28,2021-04-01,1
N,A.28,2021-04-06,2
N,A.28,2021-04-07,1
N,A.28,2021-04-08,3
N,A.28,2021-04-10,5
N,A.28,2021-04-13,4
N,A.28,2021-04-14,1
N,A.28,2021-04-23,1
N,A.28,2021-04-27,3
N,A.28,2021-05-05,2
N,A.28,2021-05-06,1
N,A.28,2021-05-11,1
N,A.29,2021-03-04,1
N,A.29,2021-03-05,1
